Syllogism,Prediction
AA1,Aca
AA2,Aca
AA3,Aca
AA4,Aca
AI1,Ica
AI2,Ica
AI3,Ica
AI4,Ica
AE1,Eca
AE2,Eca
AE3,Eca
AE4,Eca
AO1,Oca
AO2,Oca
AO3,Oca
AO4,Oca
IA1,Ica
IA2,Ica
IA3,Ica
IA4,Ica
II1,Ica
II2,Ica
II3,Ica
II4,Ica
IE1,Oca
IE2,Oca
IE3,Oca
IE4,Oca
IO1,Oca
IO2,Oca
IO3,Oca
IO4,Oca
EA1,Eca
EA2,Eca
EA3,Eca
EA4,Eca
EI1,Oca
EI2,Oca
EI3,Oca
EI4,Oca
EE1,Eca
EE2,Eca
EE3,Eca
EE4,Eca
EO1,Oca
EO2,Oca
EO3,Oca
EO4,Oca
OA1,Oca
OA2,Oca
OA3,Oca
OA4,Oca
OI1,Oca
OI2,Oca
OI3,Oca
OI4,Oca
OE1,Oca
OE2,Oca
OE3,Oca
OE4,Oca
OO1,Oca
OO2,Oca
OO3,Oca
OO4,Oca
